#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
30 (14.9697, 3.78989, 4.89744)  (0.0564273, -0.0420522, 0.997521) 0.0691199 8.14932
31 (17.2603, -0.240707, 4.10766)  (0.0415664, -0.0618854, 0.997217) 0.0708102 7.68745
32 (15.7689, -2.39178, 2.55336)  (0.00743889, -0.0284017, 0.999569) 0.0519377 4.61233
33 (15.7268, -6.92692, 2.29827)  (0.0596173, -0.0495961, 0.996988) 0.0653517 4.8029
34 (17.6879, 5.06357, 3.52891)  (0.0684644, -0.0589441, 0.995911) 0.0487369 5.57938
35 (18.336, -5.8326, 4.58673)  (0.0479569, -0.0517608, 0.997507) 0.0783102 9.18206
36 (20.4078, 2.76053, 4.78025)  (0.0199274, -0.053745, 0.998356) 0.0805227 8.60768
37 (20.6232, -3.96074, 4.43549)  (0.0301182, -0.0517202, 0.998207) 0.0966455 8.75366
38 (16.8201, 7.45392, 5.10532)  (0.0922353, -0.0637213, 0.993696) 0.0699958 7.14773
39 (18.1434, 3.25475, 3.29399)  (0.0582878, 0.0261415, 0.997957) 0.0996821 4.54459
40 (21.4744, -5.73967, 2.72392)  (0.16049, -0.106783, 0.981244) 0.055346 5.2876
41 (23.3621, 0.319651, 2.44101)  (0.0902016, -0.0911022, 0.991748) 0.0709295 4.13371
